tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,year,latitude,longitude
2024-0322,Geneva,Clay,32,A,20240520,2024,46.2017559,6.1466014
2024-7694,Lyon,Clay,32,A,20240520,2024,45.7578137,4.8320114
2024-520,Paris,Clay,128,G,20240527,2024,48.8588897,2.320041
2024-0440,s Hertogenbosch,Grass,32,A,20240610,2024,51.6889387,5.303116
2024-0321,Stuttgart,Grass,32,A,20240610,2024,48.7784485,9.1800132
2024-0500,Halle,Grass,32,A,20240617,2024,51.4824354,11.9712985
2024-0311,London,Grass,32,A,20240617,2024,51.5074456,-0.1277653
2024-8994,Mallorca,Grass,32,A,20240624,2024,39.613432,2.8829185
2024-0741,Eastbourne,Grass,32,A,20240624,2024,50.7664372,0.2781546
2024-540,Wimbledon,Grass,128,G,20240701,2024,51.4214787,-0.2064027
2024-0314,Gstaad,Clay,32,A,20240715,2024,46.4721619,7.288748
2024-0414,Hamburg,Clay,32,A,20240715,2024,53.5501721,10.0013165
2024-0316,Bastad,Clay,32,A,20240715,2024,56.4268963,12.8608789
2024-0315,Newport,Grass,32,A,20240715,2024,41.4899827,-71.3137707
2024-6116,Atlanta,Hard,32,A,20240722,2024,33.7544657,-84.3898151
2024-0319,Kitzbuhel,Clay,32,A,20240722,2024,47.4463585,12.3911473
2024-0439,Umag,Clay,32,A,20240722,2024,45.4323587,13.5224098
2024-0418,Washington,Hard,64,A,20240729,2024,38.8950982,-77.0363849
2024-0096,Paris Olympics,Clay,64,O,20240729,2024,,
2024-0421,Montreal,Hard,64,M,20240805,2024,45.5031824,-73.5698065
2024-0422,Cincinnati,Hard,64,M,20240812,2024,39.1012809,-84.5127405
2024-6242,Winston-Salem,Hard,64,A,20240819,2024,36.0998131,-80.2440518
2024-560,New York,Hard,128,G,20240826,2024,40.7127281,-74.0060152
2024-7581,Chengdu,Hard,28,A,20240918,2024,30.659867,104.063315
2024-4713,Hangzhou,Hard,28,A,20240918,2024,30.2489634,120.2052342
2024-9210,Laver Cup,Hard,12,A,20240920,2024,,
2024-0329,Tokyo,Hard,32,A,20240925,2024,35.6768601,139.7638947
2024-0747,Beijing,Hard,32,A,20240926,2024,39.9057136,116.3912972
2024-5014,Shanghai,Hard,96,M,20241002,2024,31.2312707,121.4700152
2024-9410,Almaty,Hard,28,A,20241014,2024,43.2363924,76.9457275
2024-7485,Antwerp,Hard,28,A,20241014,2024,51.2211097,4.3997081
2024-0429,Stockholm,Hard,28,A,20241014,2024,59.3251172,18.0710935
2024-0328,Basel,Hard,32,A,20241021,2024,47.5581077,7.5878261
2024-0337,Vienna,Hard,32,A,20241021,2024,48.2083537,16.3725042
2024-4787,Belgrade,Hard,28,A,20241104,2024,44.8153318,20.4456588
2024-0341,Metz,Hard,28,A,20241104,2024,49.1196964,6.1763552
2024-0605,Turin,Hard,8,F,20241111,2024,45.0677551,7.6824892
2024-7696,Next Gen Finals,Hard,8,F,20241218,2024,,
2025-9900,Brisbane,Hard,18,A,20241227,2025,-27.4689623,153.0235009
2025-9900,Sydney,Hard,18,A,20241227,2025,-33.8698439,151.2082848
2025-9900,Perth,Hard,18,A,20241227,2025,-31.9558967,115.8605784
2025-0336,Hong Kong,Hard,28,A,20241230,2025,22.3492155,114.1857978
2025-8998,Adelaide,Hard,28,A,20250106,2025,-34.9281805,138.5999312
2025-0301,Auckland,Hard,28,A,20250106,2025,-36.852095,174.7631803
2025-580,Melbourne,Hard,128,G,20250113,2025,-37.8142454,144.9631732
2025-0375,Montpellier,Hard,28,A,20250127,2025,43.6112422,3.8767337
2025-0424,Dallas,Hard,32,A,20250203,2025,32.7762719,-96.7968559
2025-0407,Rotterdam,Hard,32,A,20250203,2025,51.9244424,4.47775
2025-0506,Buenos Aires,Clay,28,A,20250210,2025,-34.6095579,-58.3887904
2025-0499,Delray Beach,Hard,28,A,20250210,2025,26.4614625,-80.0728201
2025-0496,Marseille,Hard,28,A,20250210,2025,43.2963986,5.3777888
2025-0451,Doha,Hard,32,A,20250217,2025,25.3108807,51.5081812
2025-6932,Rio de Janeiro,Clay,32,A,20250217,2025,-22.9110137,-43.2093727
2025-0807,Acapulco,Hard,32,A,20250224,2025,16.8680495,-99.8940182
2025-0495,Dubai,Hard,32,A,20250224,2025,25.0742823,55.1885387
2025-8996,"Santiago, Chile",Clay,28,A,20250224,2025,-33.4376995,-70.6510671
2025-0404,Indian Wells,Hard,96,M,20250305,2025,33.7217965,-116.338303
2025-0403,Miami,Hard,96,M,20250319,2025,25.7741566,-80.1935973
2025-4462,Bucharest,Clay,28,A,20250331,2025,44.4361414,26.102684
2025-0717,Houston,Clay,28,A,20250331,2025,29.7589382,-95.3676974
2025-0360,Marrakech,Clay,28,A,20250331,2025,31.6258257,-7.9891608
2025-0410,Monte Carlo,Clay,56,M,20250407,2025,43.7402961,7.426559
2025-0425,Barcelona,Clay,32,A,20250414,2025,41.3825802,2.177073
2025-0308,Munich,Clay,32,A,20250414,2025,48.1371079,11.5753822
2025-1536,Madrid,Clay,96,M,20250423,2025,40.416782,-3.703507
2025-0416,Rome,Clay,96,M,20250507,2025,41.8933203,12.4829321
2025-0322,Geneva,Clay,28,A,20250518,2025,46.2017559,6.1466014
2025-0414,Hamburg,Clay,32,A,20250518,2025,53.5501721,10.0013165
2025-520,Paris,Clay,128,G,20250526,2025,48.8588897,2.320041
2025-0440,s Hertogenbosch,Grass,28,A,20250609,2025,51.6889387,5.303116
2025-0321,Stuttgart,Grass,28,A,20250609,2025,48.7784485,9.1800132
2025-0500,Halle,Grass,32,A,20250616,2025,51.4824354,11.9712985
2025-0311,London,Grass,32,A,20250616,2025,51.5074456,-0.1277653
2025-8994,Mallorca,Grass,28,A,20250622,2025,39.613432,2.8829185
2025-0741,Eastbourne,Grass,28,A,20250623,2025,50.7664372,0.2781546
2025-540,Wimbledon,Grass,128,G,20250630,2025,51.4214787,-0.2064027
2025-0316,Bastad,Clay,28,A,20250714,2025,56.4268963,12.8608789
2025-0314,Gstaad,Clay,28,A,20250714,2025,46.4721619,7.288748
2025-7480,"Los Cabos, Mexico",Hard,28,A,20250714,2025,21.166121,-100.936442
2025-0439,Umag,Clay,28,A,20250720,2025,45.4323587,13.5224098
2025-0319,Kitzbuhel,Clay,28,A,20250721,2025,47.4463585,12.3911473
2025-0418,Washington,Hard,48,A,20250721,2025,38.8950982,-77.0363849
2025-0421,Toronto,Hard,96,M,20250727,2025,43.6534817,-79.3839347
2025-0422,Cincinnati,Hard,96,M,20250807,2025,39.1012809,-84.5127405
2025-6242,Winston-Salem,Hard,48,A,20250817,2025,36.0998131,-80.2440518
2025-560,New York,Hard,128,G,20250825,2025,40.7127281,-74.0060152
2025-7581,Chengdu,Hard,28,A,20250917,2025,30.659867,104.063315
2025-4713,Hangzhou,Hard,28,A,20250917,2025,30.2489634,120.2052342
2025-9210,Laver Cup,Hard,12,A,20250919,2025,,
2025-0329,Tokyo,Hard,32,A,20250924,2025,35.6768601,139.7638947
2025-0747,Beijing,Hard,32,A,20250925,2025,39.9057136,116.3912972
2025-5014,Shanghai,Hard,96,M,20251001,2025,31.2312707,121.4700152
2025-9410,Almaty,Hard,28,A,20251013,2025,43.2363924,76.9457275
2025-7485,Brussels,Hard,28,A,20251013,2025,50.8467372,4.352493
2025-0429,Stockholm,Hard,28,A,20251013,2025,59.3251172,18.0710935
2025-0328,Basel,Hard,32,A,20251020,2025,47.5581077,7.5878261
2025-0337,Vienna,Hard,32,A,20251020,2025,48.2083537,16.3725042
2025-5100,Athens,Hard,28,A,20251102,2025,33.9597677,-83.376398
2025-0341,Metz,Hard,28,A,20251102,2025,49.1196964,6.1763552
2025-0605,Turin,Hard,8,F,20251109,2025,45.0677551,7.6824892
2025-7696,Next Gen Finals,Hard,8,F,20251217,2025,,
2026-9900,Brisbane,Hard,18,A,20260105,2026,-27.4689623,153.0235009
2026-9900,Sydney,Hard,18,A,20260105,2026,-33.8698439,151.2082848
2026-9900,Perth,Hard,18,A,20260105,2026,-31.9558967,115.8605784
2026-0336,Hong Kong,Hard,28,A,20260105,2026,22.3492155,114.1857978
2026-8998,Adelaide,Hard,28,A,20260112,2026,-34.9281805,138.5999312
2026-0301,Auckland,Hard,28,A,20260112,2026,-36.852095,174.7631803
2026-580,Melbourne,Hard,128,G,20260119,2026,-37.8142454,144.9631732
2026-0375,Montpellier,Hard,28,A,20260202,2026,43.6112422,3.8767337
2026-0506,Buenos Aires,Clay,28,A,20260209,2026,-34.6095579,-58.3887904
2026-0424,Dallas,Hard,32,A,20260209,2026,32.7762719,-96.7968559
2026-0407,Rotterdam,Hard,32,A,20260209,2026,51.9244424,4.47775
2026-0499,Delray Beach,Hard,28,A,20260216,2026,26.4614625,-80.0728201
2026-0451,Doha,Hard,32,A,20260216,2026,25.3108807,51.5081812
2026-6932,Rio de Janeiro,Clay,32,A,20260216,2026,-22.9110137,-43.2093727
2026-0807,Acapulco,Hard,32,A,20260223,2026,16.8680495,-99.8940182
2026-0495,Dubai,Hard,32,A,20260223,2026,25.0742823,55.1885387
2026-8996,"Santiago, Chile",Clay,28,A,20260223,2026,-33.4376995,-70.6510671
2026-0404,Indian Wells,Hard,96,M,20260304,2026,33.7217965,-116.338303
2026-0403,Miami,Hard,96,M,20260318,2026,25.7741566,-80.1935973
2026-4462,Bucharest,Clay,28,A,20260330,2026,44.4361414,26.102684
2026-0717,Houston,Clay,28,A,20260330,2026,29.7589382,-95.3676974
2026-0360,Marrakech,Clay,28,A,20260330,2026,31.6258257,-7.9891608
2026-0410,Monte Carlo,Clay,56,M,20260405,2026,43.7402961,7.426559
2026-0425,Barcelona,Clay,32,A,20260413,2026,41.3825802,2.177073
2026-0308,Munich,Clay,32,A,20260413,2026,48.1371079,11.5753822
2026-1536,Madrid,Clay,96,M,20260422,2026,40.416782,-3.703507
2026-0416,Rome,Clay,96,M,20260506,2026,41.8933203,12.4829321
2026-0322,Geneva,Clay,28,A,20260517,2026,46.2017559,6.1466014
2026-0414,Hamburg,Clay,32,A,20260517,2026,53.5501721,10.0013165
2026-520,Paris,Clay,128,G,20260525,2026,48.8588897,2.320041
